Dia Entrega,Feito,Pago,Entregue,Total,Recebido,Faltante,Tipo,Chocolate,Casca,Recheio,Docinho,Criança?
19/04,False,False,False,"R$ 65,00","R$ 32,50","R$ 32,50",Trufado,Branco,Oreo,Ninho com Nutella,-,"Sim, menino"
19/04,False,False,False,"R$ 65,00","R$ 32,50","R$ 32,50",Trufado,Branco,Oreo,Ninho com Nutella,-,"Sim, menina"
19/04,False,False,False,"R$ 65,00","R$ 32,50","R$ 32,50",Trufado,Blend,Oreo,Ninho com Nutella,-,"Sim, menino"
19/04,False,False,False,"R$ 60,00","R$ 30,00","R$ 30,00",Colher,Branco,Oreo,Brigadeiro,Brigadeiro e morangos,"Sim, menina"
19/04,False,False,False,"R$ 75,00","R$ 37,50","R$ 37,50",Colher,Blend,Lisa,Ferrero Rocher,Ferrero Rocher,Não
19/04,False,False,False,"R$ 65,00","R$ 32,50","R$ 32,50",Trufado,Blend,Crocante,Prestígio,-,Não
19/04,False,False,False,"R$ 75,00","R$ 37,50","R$ 37,50",Colher,Branco,Lisa,Ninho com Nutella,Ninho,Não
19/04,False,True,False,"R$ 70,00","R$ 70,00","R$ 0,00",Colher,Blend,Lisa,Ninho com Nutella,Ninho,Não
19/04,False,True,False,"R$ 60,00","R$ 60,00","R$ 0,00",Colher,Blend,Confeti,Maracujá,Brigadeiro,Não
19/04,False,False,False,"R$ 75,00","R$ 35,00","R$ 40,00",Colher,Blend,Confeti,Ninho com Nutella,Ninho,Não
19/04,False,False,False,"R$ 70,00","R$ 35,00","R$ 35,00",Colher,Blend,Oreo,Ferrero Rocher,Ferrero Rocher,Não
19/04,False,False,False,"R$ 75,00","R$ 37,50","R$ 37,50",Colher,Blend,Crocante,Ferrero Rocher,Ferrero Rocher,Não
19/04,False,False,False,"R$ 70,00","R$ 35,00","R$ 35,00",Colher,Blend,Crocante,Ninho com Nutella,Ninho e morangos,Não
19/04,False,False,False,"R$ 65,00","R$ 32,50","R$ 32,50",Colher,Blend,Crocante,Brigadeiro,Brigadeiro e morangos,Não
19/04,False,False,False,"R$ 60,00","R$ 30,00","R$ 30,00",Colher,Blend,Crocante,Maracujá,Brigadeiro,Não
19/04,False,False,False,"R$ 65,00","R$ 32,50","R$ 32,50",Trufado,Blend,Lisa,Brigadeiro,-,"Sim, menino"
19/04,False,False,False,"R$ 60,00","R$ 30,00","R$ 30,00",Colher,Branco,Crocante,Brigadeiro,Brigadeiro e morangos,Não
19/04,False,True,False,"R$ 70,00","R$ 70,00","R$ 0,00",Colher,Branco,Confeti,Ninho,Ninho e Confeti,Sim
19/04,False,False,False,"R$ 60,00","R$ 0,00","R$ 60,00",Colher,Blend,Crocante,Maracujá,Brigadeiro,Não
19/04,False,True,False,"R$ 60,00","R$ 60,00","R$ 0,00",Colher,Blend,Lisa,Brigadeiro,Brigadeiro e morangos,"Sim, menino"
19/04,False,False,False,"R$ 65,00","R$ 35,00","R$ 30,00",Trufado,Blend,Crocante,Maracujá,-,Não
19/04,False,True,False,"R$ 65,00","R$ 65,00","R$ 0,00",Trufado,Blend,Crocante,Ninho com Nutella,-,Não
19/04,False,True,False,"R$ 60,00","R$ 60,00","R$ 0,00",Colher,Blend,Lisa,Brigadeiro,Brigadeiro e morangos,Não
19/04,False,True,False,"R$ 70,00","R$ 70,00","R$ 0,00",Colher,Blend,Crocante,Ferrero Rocher,Ferrero Rocher,Não
19/04,False,True,False,"R$ 65,00","R$ 65,00","R$ 0,00",Trufado,Blend,Oreo,Prestígio e Ninho com Nutella,-,Não
19/04,False,False,False,"R$ 60,00","R$ 0,00","R$ 60,00",Colher,Blend,Lisa,Brigadeiro,Brigadeiro,Não
19/04,False,False,False,"R$ 60,00","R$ 30,00","R$ 30,00",Colher,Blend,Crocante,Brigadeiro,Brigadeiro e morangos,Não
19/04,False,False,False,"R$ 60,00","R$ 30,00","R$ 30,00",Colher,Blend,Lisa,Brigadeiro,Brigadeiro e morangos,Não
19/04,False,False,False,"R$ 70,00","R$ 35,00","R$ 35,00",Colher,Blend,Lisa,Ninho com Nutella,Ninho,Não
19/04,False,False,False,"R$ 70,00","R$ 35,00","R$ 35,00",Colher,Blend,Crocante,Ninho com brigadeiro,Ninho e morangos,Não
19/04,False,False,False,"R$ 70,00","R$ 35,00","R$ 35,00",Colher,Blend,Lisa,Ninho com brigadeiro,Ninho e morangos,Não
19/04,False,False,False,"R$ 70,00","R$ 70,00","R$ 0,00",Colher,Blend,Lisa,Ferrero Rocher,Ferrero Rocher,Não
19/04,False,False,False,"R$ 70,00","R$ 70,00","R$ 0,00",Colher,Blend,Lisa,Ferrero Rocher,Ferrero Rocher,Não
19/04,False,True,False,"R$ 60,00","R$ 60,00","R$ 0,00",Colher,Blend,Crocante,Maracujá,Brigadeiro,Não
19/04,False,True,False,"R$ 70,00","R$ 70,00","R$ 0,00",Colher,Blend,Crocante,Ferrero Rocher,Ferrero Rocher,Não
,False,False,False,,,,,,,,,
,False,False,False,,,,,,,,,
,False,False,False,,,,,,,,,
,False,False,False,,,,,,,,,
,False,False,False,,,,,,,,,
